frame,time_sec,track_id,class_name,confidence,displacement_px,consecutive_stand_sec,is_jam_contributor
0,0.0,1,bus,0.9617446660995483,999.0,0.0,False
0,0.0,2,bus,0.9523407816886902,999.0,0.0,False
0,0.0,3,car,0.9509525299072266,999.0,0.0,False
0,0.0,4,car,0.8971638083457947,999.0,0.0,False
0,0.0,5,bus,0.8954955339431763,999.0,0.0,False
0,0.0,6,bus,0.8940425515174866,999.0,0.0,False
0,0.0,7,car,0.8910777568817139,999.0,0.0,False
0,0.0,8,car,0.8385052680969238,999.0,0.0,False
0,0.0,9,car,0.8289982080459595,999.0,0.0,False
0,0.0,10,car,0.80088871717453,999.0,0.0,False
0,0.0,11,truck,0.7572565674781799,999.0,0.0,False
0,0.0,12,car,0.7559302449226379,999.0,0.0,False
0,0.0,13,car,0.7533137202262878,999.0,0.0,False
0,0.0,14,car,0.7519403100013733,999.0,0.0,False
0,0.0,15,motorcycle,0.7396928668022156,999.0,0.0,False
0,0.0,16,bus,0.723251461982727,999.0,0.0,False
1,0.04,1,bus,0.9650517106056213,0.38999998569488525,0.04,False
1,0.04,2,bus,0.9503390789031982,3.3299999237060547,0.0,False
1,0.04,3,car,0.9515693187713623,9.359999656677246,0.0,False
1,0.04,4,car,0.8895641565322876,2.2300000190734863,0.04,False
1,0.04,5,bus,0.9020487070083618,1.1100000143051147,0.04,False
1,0.04,6,bus,0.8961124420166016,5.440000057220459,0.0,False
1,0.04,7,car,0.8890747427940369,0.75,0.04,False
1,0.04,8,car,0.7959875464439392,1.1299999952316284,0.04,False
1,0.04,9,car,0.7820339798927307,0.9599999785423279,0.04,False
1,0.04,10,car,0.785925030708313,0.20000000298023224,0.04,False
1,0.04,11,truck,0.7728520035743713,2.819999933242798,0.04,False
1,0.04,12,car,0.8403713703155518,5.449999809265137,0.0,False
1,0.04,13,car,0.6936348676681519,1.059999942779541,0.04,False
1,0.04,14,car,0.7357484698295593,0.949999988079071,0.04,False
1,0.04,15,motorcycle,0.7277927994728088,0.5400000214576721,0.04,False
1,0.04,16,bus,0.775312066078186,5.860000133514404,0.0,False
2,0.08,1,bus,0.9654779434204102,0.5400000214576721,0.08,False
2,0.08,2,bus,0.9523214101791382,2.8399999141693115,0.04,False
2,0.08,3,car,0.9556683301925659,8.0600004196167,0.0,False
2,0.08,4,car,0.8945177793502808,0.8399999737739563,0.08,False
